freq,regisveh,unit,vehicle,geo\TIME_PERIOD	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,D001,MIO_VKM,CAR,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	141503 	145977 	151486 	157586 e	: 	169719 	175476 e	180158 e	: 	: 	: 	: 	: 
A,D001,MIO_VKM,CAR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	31935 	33430 	35763 	37727 	39798 	40948 	42133 	43354 	44613 	45911 
A,D001,MIO_VKM,CAR,SE	31021 	32867 	34723 	38470 	36819 	37681 	40782 	42819 	44002 	44886 	45192 	44845 	45313 	45977 	46372 	47790 	48074 	50852 	53280 	55628 	55808 b	56165 	56852 	55638 	56266 	56898 	57132 	57212 	57670 	58931 	59654 	60247 	61961 	62549 	62971 	62652 	63979 	66028 	67715 	63742 	63838 	: 	: 	63278 	64527 	65836 	67440 	68305 	68639 	67776 	62204.389 
A,D001,MIO_VKM,CAR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7847 r	7434 	7902 r	8260 r	8978 r	9673 r	10546 r	11278 r	11271 r	11933 r	12094 r	12397 r	12732 r	13007 r	13441 	13725 	14036 	14851 	15170 	15717 	15633 	: 	: 	: 	: 	17986 p	17679 	18328 	18749 p	: 	17101 p
A,D001,MIO_VKM,CAR,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21061 	: 	: 	30605 	30771 	36224 r	34047 	33204 	33802 	38403 	40490 	43188 	47124 	47502 	49615 	55116 	58739 	64926 	69333 	72862 	81578 	87276 	: 	: 	: 	: 
A,D001,MIO_VKM,CAR,UK	175348 	186386 	196852 	207333 	203603 	205120 	214625 	218573 	227571 	226542 	241070 	245635 	253340 	257281 	271560 	279043 	294393 	317346 	341604 	370952 	375796 	376882 	379153 b	379695 r	388361 r	395630 r	406117 r	414353 r	421395 r	429033 r	429115 r	436406 r	447902 r	450911 r	458861 	477660 	486036 	491348 	487134 r	400671 	392393 	387353 	386678 	386192 	394225 	398626 	404982 	409408 	: 	447769 	337240 
A,D001,MIO_VKM,LOR_RTRN,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2700 	2946 	3052 	3143 	3269 	3389 	3492 	3606 	3716 	8957 	9261 	9400 	9540 	9823 	10030 	10386 	10933 	11333 	11137 	10902 	11143 	11393 	11319 	11442 	11739 	11992 	12350 	12803 	: 	: 	: 
A,D001,MIO_VKM,LOR_RTRN,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13000 r	13190 r	13380 r	14050 r	14550 	18080 	19130 	20040 	18790 	18840 	18500 	: 	: 	19840 	18870 	19300 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,LOR_RTRN,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1175.8 r	171.8 	176.7 	193.7 	973.2 	1056.200 	959.800 	975.300 	963.800 	1002.900 	902.500 	702.100 	877.300 
A,D001,MIO_VKM,LOR_RTRN,CH	2229 	2344 	2458 	2572 	2686 	2708 	2707 	2722 	2937 	3071 	3206 	3145 	3304 	3463 	3482 	3601 	3714 	3928 	4156 	4387 	4592 	4682 	4699 	4656 	4777 r	4853 r	4822 r	4859 r	4957 	5103 r	5251 r	5224 	5228 	5264 	5358 	5420 r	5533 	5667 	5746 	5723 	5871 	: 	6185 	6117 	6234 	6364 	6504 	6634 	6768 	6894 	7012 
A,D001,MIO_VKM,LOR_RTRN,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2275.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,LOR_RTRN,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5567 	: 	4297 	: 	: 	: 	8063 	8103.7 e	8201.3 	8650.9 	: 	10436 e	9063 	: 	: 	: 	: 	8128 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
